Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
str_zlv_civhatchbackdoors_codriver1,Front right door of the Golf II hatchback. Keeps co-driver safe inside vehicle.,Front right door of the Golf II hatchback. Keeps co-driver safe inside vehicle.,Přední pravé dveře hatchbacku Golf II. Udrží spolujezdec v bezpečí uvnitř vozidla.,Vordere rechte Tür des Golf -II -Fließheckbacks. Hält Co-Fahrer in Fahrzeug sicher.,Передняя правая дверь хэтчбека Golf II. Обеспечивает безопасность сменного водителя внутри автомобиля.,Przednie prawe drzwi golfa II hatchbacka. Utrzymuje bezpieczny kierowca w pojeździe.,A Golf II ferdehátú jobb oldali ajtója. Biztonságban tartja a járm?vezet?t a járm? belsejében.,Porta anteriore destra della berlina Golf II. Mantiene il co-driver al sicuro all'interno del veicolo.,La puerta derecha delantera del hatchback del golf II. Mantiene el co-conductor seguro dentro del vehículo.,Porte avant droite de la berline de golf II. Gardez le co-conducteur en sécurité à l'intérieur du véhicule.,高尔夫II掀背车的前门。确保副驾驶员在车内安全。,ゴルフIIハッチバックの正面右ドア。共同ドライバーを車内で安全に保ちます。,Porta frontal direita do hatchback do Golf II. Mantém o co-piloto seguro no veículo dentro do veículo.,高尔夫II掀背车的前门。确保副驾驶员在车内安全。
str_zlv_civhatchbackdoors_driver0,Golf II Front Left Door,Golf II Front Left Door,Golf II přední levé levé dveře,Golf II vorne linker Tür,Передняя левая дверь Golf II,Golf II Front Lewy drzwi,Golf II elüls? bal ajtó,Golf II porta anteriore sinistra,Puerta delantera de golf II,Golf II Porte gauche avant,高尔夫II前门,ゴルフIIフロント左ドア,Golf II da porta esquerda da frente,高尔夫II前门
str_zlv_civhatchbackdoors_driver1,Front left door of the Golf II hatchback. Keeps driver safe inside vehicle.,Front left door of the Golf II hatchback. Keeps driver safe inside vehicle.,Přední levé dveře hatchbacku Golf II. Udrží řidiče v bezpečí uvnitř vozidla.,Vordere linke Tür des Golf -II -Fließheckbacks. Hält den Fahrer im Fahrzeug sicher.,Передняя левая дверь хэтчбека Golf II. Обеспечивает безопасность водителя внутри автомобиля.,Przednie lewe drzwi golfa II hatchbacka. Utrzymuje bezpieczeństwo kierowcy w pojeździe.,A Golf II ferdehátú bal oldali ajtója. A járm?vezet?t biztonságban tartja a járm? belsejében.,Porta sinistra anteriore della berlina del golf II. Mantenere il conducente al sicuro all'interno del veicolo.,La puerta delantera izquierda del hatchback de Golf II. Mantiene el conductor seguro dentro del vehículo.,Porte avant gauche de la berline de golf II. Gardez le conducteur en sécurité à l'intérieur du véhicule.,高尔夫II掀背车的左前门。确保驾驶员在车内安全。,ゴルフIIハッチバックの最前線のドア。車両内でドライバーを安全に保ちます。,Porta esquerda da frente do hatchback do Golf II. Mantém o motorista seguro dentro do veículo.,高尔夫II掀背车的左前门。确保驾驶员在车内安全。
str_zlv_civhatchbackdoors_hood0,Golf II Hood,Golf II Hood,Golf II Hood,Golf II Motorhaube,Капот Golf II,Golf II Hood,Golf II Hood,Golf II Cappuccio,Capucha de golf II,Golf II Hood,高尔夫II引擎盖,ゴルフIIフード,Hood de golfe II,高尔夫II引擎盖
str_zlv_civhatchbackdoors_hood1,Hood of the Golf II hatchback. Helps protect the engine and other sensitive car parts.,Hood of the Golf II hatchback. Helps protect the engine and other sensitive car parts.,Hood Golf II hatchback. Pomáhá chránit motor a další citlivé části automobilu.,Kapuze des Golf -II -Schrägheckbacks. Schützt den Motor und andere empfindliche Autoteile.,Капот хэтчбека Golf II. Помогает защитить двигатель и другие важные детали автомобиля.,Hatchback hatchbacka golfa II. Pomaga chronić silnik i inne wrażliwe części samochodowe.,A Golf II ferdehátú motorháztet?je. Segít megvédeni a motort és az egyéb érzékeny autóalkatrészeket.,Cappuccio della berlina Golf II. Aiuta a proteggere il motore e altre parti di auto sensibili.,Hood of the Golf II Hatchback. Ayuda a proteger el motor y otras partes sensibles del automóvil.,Hood of the Golf II hayon. Aide à protéger le moteur et d'autres pièces de voitures sensibles.,高尔夫II掀背车的引擎盖。有助于保护发动机和其他敏感的汽车零件。,ゴルフIIハッチバックのフード。エンジンやその他の敏感な車の部品を保護するのに役立ちます。,Hood of the Golf II Hatchback. Ajuda a proteger o motor e outras partes sensíveis do carro.,高尔夫II掀背车的引擎盖。有助于保护发动机和其他敏感的汽车零件。
str_zlv_civhatchbackdoors_rearleft0,Golf II Rear Left Door,Golf II Rear Left Door,Golf II zadní levé dveře,Golf II hintere linke Tür,Задняя левая дверь Golf II,Golf II tylne lewe drzwi,Golf II hátsó bal ajtó,Golf II Porta posteriore sinistra,Puerta trasera trasera de golf II,Golf II Porte arrière arrière,高尔夫II后门,ゴルフIIリアの左ドア,Golf II Porta Tresa esquerda,高尔夫II后门
str_zlv_civhatchbackdoors_rearleft1,Rear left door of the Volkswagen Golf II hatchback. Keeps passenger in back seat safe inside vehicle.,Rear left door of the Volkswagen Golf II hatchback. Keeps passenger in back seat safe inside vehicle.,Zadní levé dveře Volkswagen Golf II hatchback. Uvnitř vozidla udržuje cestujícího na zadním sedadle.,Hintere linke Tür des Volkswagen Golf II Fließheckback. Hält der Passagier im Rücksitz im Fahrzeug sicher.,Задняя левая дверь хэтчбека Volkswagen Golf II. Обеспечивает безопасность пассажиров на заднем сиденье.,Tylne lewe drzwi Volkswagen Golf II Hatchback. Utrzymuje pasażer na tylnym siedzeniu bezpiecznie w pojeździe.,A Volkswagen Golf II Hatchback hátsó bal oldali ajtója. Az utast a hátsó ülésen tartja a járm? belsejében.,Porta posteriore sinistra della berlina Volkswagen Golf II. Mantenere il passeggero sul sedile posteriore al sicuro all'interno del veicolo.,Puerta trasera trasera del hatchback Volkswagen Golf II. Mantiene el pasajero en el asiento trasero seguro dentro del vehículo.,Porte arrière gauche de la Volkswagen Golf II hayon. Garde le passager dans le siège arrière en sécurité à l'intérieur du véhicule.,大众高尔夫II掀背车的后左门。确保乘客在车内安全。,フォルクスワーゲンゴルフIIハッチバックの後ろの左ドア。後部座席の乗客を車内で安全に保ちます。,Porta esquerda traseira do hatchback Volkswagen Golf II. Mantém o passageiro no banco traseiro seguro dentro do veículo.,大众高尔夫II掀背车的后左门。确保乘客在车内安全。
str_zlv_civhatchbackdoors_rearright0,Volkswagen Golf II Rear Right Door,Volkswagen Golf II Rear Right Door,Volkswagen Golf II pravé pravé dveře,Volkswagen Golf II hintere rechte Tür,Задняя правая дверь Volkswagen Golf II,Volkswagen Golf II tylne tylne drzwi,Volkswagen Golf II hátsó jobb ajtó,Volkswagen Golf II Porta posteriore destra,Volkswagen Golf II Puerta derecha trasera,Volkswagen Golf II Porte droite droite,大众高尔夫II后右门,フォルクスワーゲンゴルフIIリア右ドア,Volkswagen Golf II traseira porta direita,大众高尔夫II后右门
str_zlv_civhatchbackdoors_rearright1,Rear right door of the Volkswagen Golf II hatchback. Keeps passenger in back seat safe inside vehicle.,Rear right door of the Volkswagen Golf II hatchback. Keeps passenger in back seat safe inside vehicle.,Zadní pravé dveře Volkswagen Golf II hatchback. Uvnitř vozidla udržuje cestujícího na zadním sedadle.,Heck rechte Tür des Volkswagen Golf II Fließheckback. Hält der Passagier im Rücksitz im Fahrzeug sicher.,Задняя правая дверь хэтчбека Volkswagen Golf II. Обеспечивает безопасность пассажиров на заднем сиденье.,Tylne prawe drzwi Volkswagen Golf II Hatchback. Utrzymuje pasażer na tylnym siedzeniu bezpiecznie w pojeździe.,A Volkswagen Golf II ferdehátú hátsó jobb ajtó. Az utast a hátsó ülésen tartja a járm? belsejében.,Porta posteriore destra della berlina Volkswagen Golf II. Mantenere il passeggero sul sedile posteriore al sicuro all'interno del veicolo.,Puerta derecha trasera del Hatchback Volkswagen Golf II. Mantiene el pasajero en el asiento trasero seguro dentro del vehículo.,Porte arrière droite de la Volkswagen Golf II Hatchback. Garde le passager dans le siège arrière en sécurité à l'intérieur du véhicule.,大众高尔夫II掀背车的后右门。确保乘客在车内安全。,フォルクスワーゲンゴルフIIハッチバックの右側のドア。後部座席の乗客を車内で安全に保ちます。,Porta traseira direita do hatchback Volkswagen Golf II. Mantém o passageiro no banco traseiro seguro dentro do veículo.,大众高尔夫II掀背车的后右门。确保乘客在车内安全。
str_zlv_civhatchbackdoors_trunk0,Volkswagen Golf II Trunk Door,Volkswagen Golf II Trunk Door,Volkswagen Golf II Dveře kufru,Volkswagen Golf II Kofferstür,Дверь багажника Volkswagen Golf II,Drzwi tułowia Volkswagen Golf II,Volkswagen Golf II csomagtartóajtó,Volkswagen Golf II Trunk Door,Volkswagen Golf II Trunk Door,Volkswagen Golf II Porte de tronc,大众高尔夫II行李箱门,フォルクスワーゲンゴルフIIトランクドア,Volkswagen Golf II porta do tronco,大众高尔夫II行李箱门
str_zlv_civhatchbackdoors_trunk1,Trunk door of the Volkswagen Golf II hatchback. Used for keeping trunk contents closed.,Trunk door of the Volkswagen Golf II hatchback. Used for keeping trunk contents closed.,Trunkové dveře Volkswagen Golf II hatchback. Používá se pro udržení uzavřeného obsahu kufru.,"Kofferraumtür des Volkswagen Golf II Fließheckback. Verwendet, um die Kofferrauminhalte geschlossen zu halten.",Дверь багажника хэтчбека Volkswagen Golf II. Не дает содержимому багажника выпасть.,Drzwi tułowia Volkswagen Golf II Hatchback. Używany do utrzymywania zamkniętej zawartości bagażnika.,A Volkswagen Golf II ferdehátú csomagtartó ajtaja. A csomagtartó tartalmának zárva tartására használják.,Porta del bagagliaio della berlina Volkswagen Golf II. Utilizzato per mantenere il contenuto del tronco chiuso.,Puerta del maletero del hatchback Volkswagen Golf II. Utilizado para mantener cerrado el contenido del tronco.,Porte de tronc du Volkswagen Golf II Hatchback. Utilisé pour garder le contenu du tronc fermé.,大众高尔夫II掀背车的中继门。用于使中继内容关闭。,フォルクスワーゲンゴルフIIハッチバックのトランクドア。トランクの内容を閉じたままにするために使用されます。,Porta do porta -malas do hatchback Volkswagen Golf II. Usado para manter o conteúdo do tronco fechado.,大众高尔夫II掀背车的中继门。用于使中继内容关闭。
str_zlv_civhatchbackwheel0,Volkswagen Golf II Wheel,Volkswagen Golf II Wheel,Volkswagen Golf II Wheel,Volkswagen Golf II Rad,Колесо Volkswagen Golf II,WŁOSKIE VOLKSWAGEN GOLF II,Volkswagen Golf II kerék,Volkswagen Golf II ruota,Volkswagen Golf II Wheel,Volkswagen Golf II roue,大众高尔夫II轮,フォルクスワーゲンゴルフIIホイール,Roda Volkswagen Golf II,大众高尔夫II轮
str_zlv_civhatchbackwheel1,Wheel of the Volkswagen Golf II hatchback. Tire pattern is designed for high performance on normal road surfaces.,Wheel of the Volkswagen Golf II hatchback. Tire pattern is designed for high performance on normal road surfaces.,Kolo Volkswagen Golf II hatchback. Vzor pneumatik je navržen pro vysoký výkon na normálních površích vozovky.,Rad des Volkswagen Golf II Fließheckback. Das Reifenmuster ist für hohe Leistung auf normalen Straßenoberflächen ausgelegt.,Колесо хэтчбека Volkswagen Golf II. Рисунок протектора обеспечивает высокую маневренность на нормальных дорожных покрытиях.,Wheel of Volkswagen Golf II Hatchback. Wzór opon jest przeznaczony do wysokiej wydajności na normalnych powierzchniach drogowych.,A Volkswagen Golf II ferdehátú kereke. A gumiabroncsmintát a normál közúti felületek nagy teljesítményére tervezték.,Ruota della berlina Volkswagen Golf II. Il modello di pneumatici è progettato per prestazioni elevate su normali superfici stradali.,Rueda del Volkswagen Golf II Hatchback. El patrón de neumáticos está diseñado para un alto rendimiento en superficies de carretera normales.,Roue de la Volkswagen Golf II hayon. Le motif de pneu est conçu pour les hautes performances sur les surfaces routières normales.,大众高尔夫II掀背车的轮子。轮胎图案设计用于正常道路表面上的高性能。,ホイールオブザフォルクスワーゲンゴルフIIハッチバック。タイヤパターンは、通常の道路面で高性能に設計されています。,Roda do hatchback Volkswagen Golf II. O padrão de pneu foi projetado para alto desempenho em superfícies normais da estrada.,大众高尔夫II掀背车的轮子。轮胎图案设计用于正常道路表面上的高性能。
str_zlv_civiliansedan0,GAZ-24 Volga,GAZ-24 Volga,Gaz-24 Volga,GAZ-24 Wolga,ГАЗ-24 «Волга»,Gaz-24 Volga,Gaz-24 Volga,Gaz-24 Volga,GAZ-24 Volga,Gaz-24 Volga,GAZ-24 Volga,GAZ-24 Volga,Gaz-24 Volga,GAZ-24 Volga
str_zlv_civsedandoors_backleft0,Volga Rear Left Door,Volga Rear Left Door,Volga zadní levé dveře,Wolga Heck linker Tür,Задняя левая дверь Волги,Tylne lewe drzwi Volga,Volga hátsó bal ajtó,Volga Porta posteriore sinistra,Volga puerta trasera trasera,Volga arrière arrière gauche,伏尔加后左门,Volga Rear Left Door,Volga traseira da porta esquerda,伏尔加后左门
str_zlv_civsedandoors_backleft1,Rear left door of the GAZ-24 Volga sedan. Keeps the passenger in the backseat safe inside the vehicle.,Rear left door of the GAZ-24 Volga sedan. Keeps the passenger in the backseat safe inside the vehicle.,Zadní levé dveře sedanu Volga Gaz-24. Uvnitř vozidla udržuje cestujícího v zadním sedadle.,Hintere linke Tür der GAZ-24-Wolga-Limousine. Hält den Passagier auf dem Rücksitz im Fahrzeug sicher.,Задняя левая дверь седана ГАЗ-24 «Волга». Обеспечивает безопасность пассажиров на заднем сиденье.,Tylne lewe drzwi Gaz-24 Volga Sedan. Utrzymuje pasażera na tylnym siedzeniu bezpieczeństwa w pojeździe.,A Gaz-24 Volga szedán hátsó bal oldali ajtója. Az utast a hátsó ülésen tartja biztonságban a járm? belsejében.,Porta posteriore sinistra della berlina Gaz-24 Volga. Mantiene il passeggero sul sedile posteriore al sicuro all'interno del veicolo.,Puerta trasera trasera del sedán Volga Gaz-24. Mantiene al pasajero en el asiento trasero seguro dentro del vehículo.,Porte arrière gauche de la berline GAZ-24 Volga. Gardez le passager à l'arrière-service à l'intérieur du véhicule.,GAZ-24伏尔加轿车的后左门。将乘客保持在车内的后座安全。,GAZ-24 Volga Sedanの後ろの左ドア。車内で乗客を後部座席の安全に保ちます。,Porta esquerda traseira do sedan Volga Gaz-24. Mantém o passageiro no banco traseiro seguro dentro do veículo.,GAZ-24伏尔加轿车的后左门。将乘客保持在车内的后座安全。
str_zlv_civsedandoors_backright0,Volga Rear Right Door,Volga Rear Right Door,Volga zadní pravé dveře,Wolga hinter der rechten Tür,Задняя правая дверь Волги,Tylne tylne drzwi Wołga,Volga hátsó jobb ajtó,Volga Porta posteriore destra,Volga puerta derecha trasera,Volga arrière arrière droit,伏尔加后右门,Volga Lear Right Door,Volga traseira da porta direita,伏尔加后右门
str_zlv_civsedandoors_backright1,Rear right door of the GAZ-24 Volga sedan. Keeps the passenger in the backseat safe inside the vehicle.,Rear right door of the GAZ-24 Volga sedan. Keeps the passenger in the backseat safe inside the vehicle.,Zadní pravé dveře sedanu Volga Gaz-24. Uvnitř vozidla udržuje cestujícího v zadním sedadle.,Heck rechte Tür der GAZ-24-Wolga-Limousine. Hält den Passagier auf dem Rücksitz im Fahrzeug sicher.,Задняя правая дверь седана ГАЗ-24 «Волга». Обеспечивает безопасность пассажиров на заднем сиденье.,Tylne prawe drzwi Gaz-24 Volga Sedan. Utrzymuje pasażera na tylnym siedzeniu bezpieczeństwa w pojeździe.,A GAZ-24 VOLGA szedán jobb oldali ajtója. Az utast a hátsó ülésen tartja biztonságban a járm? belsejében.,Porta posteriore destra della berlina Gaz-24 Volga. Mantiene il passeggero sul sedile posteriore al sicuro all'interno del veicolo.,Puerta derecha trasera del sedán Volga Gaz-24. Mantiene al pasajero en el asiento trasero seguro dentro del vehículo.,Porte arrière droite de la berline GAZ-24 Volga. Gardez le passager à l'arrière-service à l'intérieur du véhicule.,GAZ-24伏尔加轿车的后门。将乘客保持在车内的后座安全。,GAZ-24 Volga Sedanの右側のドア。車内で乗客を後部座席の安全に保ちます。,Porta traseira direita do sedan Volga Gaz-24. Mantém o passageiro no banco traseiro seguro dentro do veículo.,GAZ-24伏尔加轿车的后门。将乘客保持在车内的后座安全。
str_zlv_civsedandoors_codriver0,Volga Front Right Door,Volga Front Right Door,Volga přední pravé dveře,Wolga vorne rechter Tür,Передняя правая дверь Волги,Wołga prawe przednie drzwi,Volga jobb oldali ajtó,Volga Front Right Door,Volga puerta derecha delantera,Volga Front droite,伏尔加前右门,Volga Front Right Door,Porta frontal volga,伏尔加前右门
str_zlv_civsedandoors_codriver1,Front right door of the GAZ-24 Volga sedan. Keeps the co-driver safe inside the vehicle.,Front right door of the GAZ-24 Volga sedan. Keeps the co-driver safe inside the vehicle.,Přední pravé dveře sedanu Volga Gaz-24. Uvnitř vozidla udržuje spoluzakladatele v bezpečí.,Vordere rechte Tür der GAZ-24-Wolga-Limousine. Hält den Mitfahrer sicher im Fahrzeug.,Передняя правая дверь седана ГАЗ-24 «Волга». Обеспечивает безопасность сменного водителя внутри автомобиля.,Prawa prawe przednie drzwi Gaz-24 Volga Sedan. Utrzymuje bezpieczny kierowca w pojeździe.,A Gaz-24 Volga szedán jobb oldali ajtója. Biztonságban tartja a Co-sof?r biztonságát a járm? belsejében.,Porta anteriore destra della berlina Gaz-24 Volga. Mantiene il co-driver sicuro all'interno del veicolo.,Puerta derecha delantera del sedán Volga GAZ-24. Mantiene el copiloto a salvo dentro del vehículo.,Porte avant droite de la berline GAZ-24 Volga. Prude le copilote à l'intérieur du véhicule.,GAZ-24伏尔加轿车的前门。确保副驾驶在车内安全。,Gaz-24 Volga Sedanの右のドア。車両内で共同ドライバーを安全に保ちます。,Porta frontal direita do sedan Volga Gaz-24. Mantém o co-piloto seguro dentro do veículo.,GAZ-24伏尔加轿车的前门。确保副驾驶在车内安全。
str_zlv_civsedandoors_driver0,Volga Front Left Door,Volga Front Left Door,Volga přední levé dveře,Wolga vorne linker Tür,Передняя левая дверь Волги,Lewe drzwi Volga Front,Volga elüls? ajtó,Volga Front Sinistra Porta,Volga puerta delantera izquierda,Volga Front gauche porte,伏尔加左前门,Volga Front Left Door,Volga Front Frent Left,伏尔加左前门
str_zlv_civsedandoors_driver1,Front left door of the GAZ-24 Volga sedan. Keeps the driver safe inside the vehicle.,Front left door of the GAZ-24 Volga sedan. Keeps the driver safe inside the vehicle.,Přední levé dveře sedanu Volga Gaz-24. Udrží řidiče v bezpečí uvnitř vozidla.,Vordere linke Tür der GAZ-24-Wolga-Limousine. Hält den Fahrer im Fahrzeug sicher.,Передняя левая дверь седана ГАЗ-24 «Волга». Обеспечивает безопасность водителя внутри автомобиля.,Przednie lewe drzwi Gaz-24 Volga Sedan. Utrzymuje kierowcę bezpieczeństwo w pojeździe.,A Gaz-24 Volga szedán bal oldali ajtója. A járm?vezet?t biztonságban tartja a járm? belsejében.,Porta anteriore sinistra della berlina Gaz-24 Volga. Mantenere il conducente al sicuro all'interno del veicolo.,Puerta delantera izquierda del sedán Volga Gaz-24. Mantiene al conductor seguro dentro del vehículo.,Porte avant gauche de la berline GAZ-24 Volga. Gardez le conducteur en sécurité à l'intérieur du véhicule.,GAZ-24 Volga轿车的左前门。确保驾驶员在车内安全。,Gaz-24 Volga Sedanの前の左ドア。車内のドライバーを安全に保ちます。,Porta frontal esquerda do sedan Volga Gaz-24. Mantém o motorista seguro dentro do veículo.,GAZ-24 Volga轿车的左前门。确保驾驶员在车内安全。
str_zlv_civsedanhood0,Volga Hood,Volga Hood,Volga Hood,Wolga Hood,Капот от Волги,Wołga Hood,Volga motorháztet?,Volga Hood,Volga Hood,Volga Hood,伏尔加罩,Volga Hood,Volga Hood,伏尔加罩
str_zlv_civsedanhood1,Hood of the GAZ-24 Volga sedan. Helps protect the engine and other sensitive car parts.,Hood of the GAZ-24 Volga sedan. Helps protect the engine and other sensitive car parts.,Hood of Gaz-24 Volga Sedan. Pomáhá chránit motor a další citlivé části automobilu.,Haube der GAZ-24-Wolga-Limousine. Schützt den Motor und andere empfindliche Autoteile.,Капот седана ГАЗ-24 «Волга». Помогает защитить двигатель и другие важные детали автомобиля.,Hood of the Gaz-24 Volga Sedan. Pomaga chronić silnik i inne wrażliwe części samochodowe.,A Gaz-24 Volga szedán motorháztet?je. Segít megvédeni a motort és az egyéb érzékeny autóalkatrészeket.,Cappuccio della berlina Gaz-24 Volga. Aiuta a proteggere il motore e altre parti di auto sensibili.,Capó del sedán Volga Gaz-24. Ayuda a proteger el motor y otras partes sensibles del automóvil.,Hotte de la berline GAZ-24 Volga. Aide à protéger le moteur et d'autres pièces de voitures sensibles.,GAZ-24 Volga轿车的引擎盖。有助于保护发动机和其他敏感的汽车零件。,Gaz-24 Volga Sedanのフード。エンジンやその他の敏感な車の部品を保護するのに役立ちます。,Capuz do sedan Volga Gaz-24. Ajuda a proteger o motor e outras partes sensíveis do carro.,GAZ-24 Volga轿车的引擎盖。有助于保护发动机和其他敏感的汽车零件。
str_zlv_civsedantrunk0,Volga Trunk Lid,Volga Trunk Lid,Volga Trunk Lid,Wolga Trunk Deckel,Крышка багажника Волги,Pokrywka woli woli,Volga csomagtartó fedele,Volga Trunk Lid,Tapa del tronco Volga,Couvercle du coffre Volga,Volga Trunk Lid,Volga Trunk Lid,Tampa do tronco Volga,Volga Trunk Lid
